h,Q
0.273,0.053782
0.274,0.054276
0.275,0.054772
0.276,0.055272
0.277,0.055774
0.278,0.056282
0.279,0.056794
0.28,0.057306
0.281,0.057819
0.282,0.058335
0.283,0.058853
0.284,0.059375
0.285,0.059899
0.286,0.060425
0.287,0.060955
0.288,0.061487
0.289,0.062023
0.29,0.06256
0.291,0.063101
0.292,0.063645
0.293,0.064195
0.294,0.064748
0.295,0.065303
0.296,0.065858
0.297,0.066416
0.298,0.066976
0.299,0.067539
0.3,0.068106
0.301,0.068675
0.302,0.069246
0.303,0.069821
0.304,0.070398
0.305,0.07098
0.306,0.071568
0.307,0.072159
0.308,0.07275
0.309,0.073341
0.31,0.073936
0.311,0.074534
0.312,0.075135
0.313,0.075738
0.314,0.076344
0.315,0.076954
0.316,0.077566
0.317,0.078181
0.318,0.078802
0.319,0.079428
0.32,0.080057
0.321,0.080685
0.322,0.081314
0.323,0.081947
0.324,0.082583
0.325,0.083222
0.326,0.083863
0.327,0.084508
0.328,0.085155
0.329,0.085806
0.33,0.086459
0.331,0.087116
0.332,0.087775
0.333,0.088438
0.334,0.089103
0.335,0.089772
0.336,0.090448
0.337,0.091128
0.338,0.091811
0.339,0.092491
0.34,0.093175
0.341,0.093862
0.342,0.094551
0.343,0.095244
0.344,0.09594
0.345,0.096638
0.346,0.09734
0.347,0.098045
0.348,0.098753
0.349,0.099471
0.35,0.100192
0.351,0.100912
0.352,0.101633
0.353,0.102356
0.354,0.103082
0.355,0.103812
0.356,0.104545
0.357,0.10528
0.358,0.106019
0.359,0.106767
0.36,0.107519
0.361,0.108273
0.362,0.109024
0.363,0.109778
0.364,0.110536
0.365,0.111297
0.366,0.112063
0.367,0.112837
0.368,0.113615
0.369,0.114391
0.37,0.115167
0.371,0.115947
0.372,0.11673
0.373,0.117516
0.374,0.11831
0.375,0.119111
0.376,0.119914
0.377,0.120712
0.378,0.121515
0.379,0.12232
0.38,0.123128
0.381,0.12394
